NAME                STATUS   AGE
default             Active   27d
exam-abduhalil      Active   2d15h
exam-abdumalik      Active   2d16h
exam-dilmurod       Active   2d15h
exam-farrukh        Active   2d11h
exam-fayoz          Active   2d11h
exam-fazliddin      Active   44h
exam-hasanboy       Active   2d15h
exam-ibrohim        Active   2d16h
exam-jamshid        Active   2d13h
exam-jasurbek       Active   2d15h
exam-khurshid       Active   2d15h
exam-nurali         Active   2d15h
exam-xondamir       Active   2d16h
exam-zoyirjon       Active   2d16h
f-muxammadiev       Active   44h
ingress-nginx       Active   20d
kube-node-lease     Active   27d
kube-public         Active   27d
kube-system         Active   27d
m-shukurjonov       Active   23h
metallb-system      Active   2d10h
o-toshev            Active   15h
practice-muzaffar   Active   110m
special             Active   23d
